"","Shannon","Simpson","Pielou","Species_Richness"
"ASCC1_C2_4_0923_SJ_1C_5",2.99459196612252,0.894625674144261,0.650267383219411,100
"ASCC100_11_73_0923_TP_1C_5",3.81926887254868,0.965086174365717,0.777434800811668,136
"ASCC101_10_68_0928_TP_1C_5",3.81068650725653,0.964131803966527,0.766766531769238,144
"ASCC102_12_82_0923_TP_1C_5",2.92958458654062,0.878595473420132,0.632094043466316,103
"ASCC103_11_73_0923_TP_1C_15",3.59761670981542,0.950573951780748,0.769901239113052,107
"ASCC104_5_32_0923_TP_1C_15",3.35128166280175,0.937932661077311,0.701233535319223,119
"ASCC105_3_15_0923_TP_1C_15",4.19522462975316,0.974837937124429,0.797163518878193,193
"ASCC106_7_43_0923_TP_1C_5",3.25174155513574,0.918930250449313,0.695882873165456,107
"ASCC108_15_100_0923_TP_1C_5",3.77810613793639,0.958302317204094,0.753018819124669,151
"ASCC109_6_39_0923_TP_1C_5",3.84730441161554,0.96442875146129,0.736981259617072,185
"ASCC11_C2_5_0923_SJ_1C_15",3.64046350415756,0.95716866206078,0.745568540742533,132
"ASCC110_1_3_0923_TP_1C_5",3.12579541593108,0.901983459142952,0.647388630068092,125
"ASCC111_7_44_0923_TP_1C_15",3.47179052722343,0.944738282910515,0.740041159679204,109
"ASCC112_8_51_0923_TP_1C_15",3.26802030796966,0.919318577598392,0.728065282812089,89
"ASCC113_12_84_0923_TP_1C_15",3.22039998213683,0.90604383121323,0.694841055499763,103
"ASCC114_9_60_0923_TP_1C_5",3.50121294476035,0.941377004097877,0.732605664994194,119
"ASCC115_3_15_0923_TP_1C_5",3.81005647906748,0.965500005601914,0.787806945991104,126
"ASCC116_4_24_0923_TP_1C_5",3.48411120356596,0.927476103921019,0.706075510942147,139
"ASCC117_14_94_0923_TP_1C_15",3.46277168369427,0.942839201570814,0.728453977831929,116
"ASCC118_16_110_0923_TP_1C_5",2.86264478439807,0.88841620821879,0.646076088080504,84
"ASCC119_11_72_0923_TP_1C_5",3.76637078871225,0.957266608012902,0.745837264132932,156
"ASCC12_T1A_6_0923_SJ_1C_5",3.72492857654258,0.960687629433992,0.741444499144879,152
"ASCC120_3_16_0923_TP_1C_15",3.51643019434054,0.944287228699363,0.742458373029651,114
"ASCC121_6_38_0923_TP_1C_5",2.69057223062553,0.803977829214078,0.59793022988638,90
"ASCC122_8_52_0923_TP_1C_5",4.20931202008244,0.96309938861035,0.762908555645223,249
"ASCC123_2_12_0923_TP_1C_15",3.57073608880709,0.95014995698011,0.768827638833592,104
"ASCC124_4_24_0923_TP_1C_15",3.30606469419021,0.865390458355522,0.649828421192776,162
"ASCC125_14_97_0923_TP_1C_5",3.84949401556866,0.96104282729638,0.766239165042924,152
"ASCC126_6_39_0923_TP_1C_15",3.76363321016209,0.962745384708293,0.782104951145584,123
"ASCC127_5_32_0923_TP_1C_5",3.44775752129045,0.946735413742216,0.70610226995737,132
"ASCC128_15_100_0923_TP_1C_15",3.85138079623272,0.947687880398438,0.696025610356664,253
"ASCC129_13_87_0923_TP_1C_5",3.76712426427906,0.957686102507033,0.772712162100854,131
"ASCC13_T3A_4_0923_SJ_1C_5",3.71044065838484,0.951915264083424,0.772361449676136,122
"ASCC130_4_26_0923_TP_1C_15",3.78873253950127,0.957428457389282,0.783397786232331,126
"ASCC131_5_33_0923_TP_1C_5",3.41321391666504,0.945768136015544,0.73957200125321,101
"ASCC132_1_4_0923_TP_1C_5",3.39727386904647,0.926810112456713,0.687478692003909,140
"ASCC133_2_12_0923_TP_1C_15",3.45215763069082,0.938147097307636,0.752929578399493,98
"ASCC134_10_67_0923_TP_1C_15",3.19016785973723,0.916862601993585,0.677385582716567,111
"ASCC135_16_111_0923_TP_1C_15",3.39551909507143,0.953980566217451,0.855231597324424,53
"ASCC136_4_26_0923_TP_1C_5",3.59116493667092,0.945902389670214,0.759651011168594,113
"ASCC137_6_38_0923_TP_1C_15",4.22955850677214,0.976860215250064,0.837560219677594,156
"ASCC138_2_13_0923_TP_1C_15",2.78823814349378,0.860420427152769,0.615152110329971,93
"ASCC139_14_94_0923_TP_1C_5",3.89878643283788,0.955920118211956,0.763577764934392,165
"ASCC14_C1_2_0923_SJ_1C_5",3.68610872409933,0.941199403160026,0.714492966311204,174
"ASCC140_5_33_0923_TP_1C_15",3.63642724366785,0.949331604145505,0.736943247232986,139
"ASCC141_7_43_0923_TP_1C_15",3.49630036365722,0.941646862978079,0.724124519217903,125
"ASCC142_9_58_0923_TP_1C_15",3.81948739872478,0.959426763561766,0.775175715070355,138
"ASCC143_1_3_0923_TP_1C_5",3.05912920507655,0.905516412371973,0.660044894285194,103
"ASCC145_15_101_0923_TP_1C_15",3.48457743397622,0.936092075790835,0.753426576685488,102
"ASCC146_12_82_0923_TP_1C_15",2.54206949110483,0.80608829454971,0.59249353734117,73
"ASCC148_10_67_0923_TP_1C_5",3.59528855391373,0.949097829662966,0.757711271025897,115
"ASCC149_3_16_0923_TP_1C_5",3.41648510605316,0.927178504495814,0.705275218540502,127
"ASCC15_T3C_4_0923_SJ_1C_5",2.94937705442935,0.882215655837152,0.628684362888886,109
"ASCC150_9_58_0923_TP_1C_5",3.68826651111424,0.962683787219709,0.802648599253883,99
"ASCC151_9_60_0923_TP_1C_15",0.321741033743401,0.17757116620753,0.464174193832094,2
"ASCC152_7_44_0923_TP_1C_5",3.21338200453603,0.924269089508486,0.689058426557593,106
"ASCC153_13_87_0923_TP_1C_15",3.96052510600545,0.96066162708028,0.772047427463651,169
"ASCC154_15_101_0923_TP_1C_5",3.32305208413605,0.918753456161421,0.694111293068256,120
"ASCC155_13_88_0923_TP_1C_5",3.77620245858732,0.958711922897301,0.730338293709283,176
"ASCC156_8_52_0923_TP_1C_15",3.80423437151947,0.964518355964912,0.787901238092493,125
"ASCC157_13_88_0923_TP_1C_15",3.03486961832398,0.875521714364861,0.738254132478541,61
"ASCC158_1_3_0923_TP_1C_15",3.2001549640367,0.889765907785354,0.70273198863572,95
"ASCC159_12_84_0923_TP_1C_5",3.63580934052268,0.954670829756884,0.822797123324082,83
"ASCC16_T3B_2_0923_SJ_1C_5",3.18450396926829,0.923172941037124,0.735326726225481,76
"ASCC160_2_13_0923_TP_1C_OM",3.79998750664239,0.952453714976237,0.777038081946545,133
"ASCC161_6_38_0923_TP_1C_OM2",3.56224340099548,0.947106078344808,0.701895842523249,160
"ASCC162_1_3_0923_TP_1C_OM",3.30036279624571,0.874128481780996,0.660440784869788,148
"ASCC163_13_88_0923_TP_1C_OM",3.96334883221356,0.957492778598623,0.757649883132552,187
"ASCC164_2_12_0923_TP_1C_OM",3.68935186506755,0.948033377200274,0.739284981995715,147
"ASCC165_7_44_0923_TP_1C_OM",4.50786231176738,0.980307710316395,0.821883173876861,241
"ASCC166_5_32_0923_TP_1C_OM",3.96882101009661,0.945924079130444,0.727513729471153,234
"ASCC167_15_100_0923_TP_1C_OM",4.04703943205289,0.962759882149262,0.724334941844461,267
"ASCC168_10_68_0923_TP_1C_OM",4.06574860254953,0.960407874621206,0.783776020278207,179
"ASCC169_14_97_0923_TP_1C_OM",4.01361381146373,0.969447325362674,0.807598509144428,144
"ASCC17_T4A_3_0923_SJ_1C_15",3.73568721300744,0.930038936908028,0.716343860527292,184
"ASCC170_12_82_0923_TP_1C_OM",2.67401788193479,0.743766047078631,0.532961678221303,151
"ASCC171_3_16_0923_TP_1C_OM",3.71000124557249,0.953163662868601,0.721556594437311,171
"ASCC172_11_72_0923_TP_1C_OM",4.12249317444005,0.965742119511689,0.769612018373114,212
"ASCC173_5_33_0923_TP_1C_OM",3.60688441083188,0.929338909186246,0.703110258364227,169
"ASCC174_3_15_0923_TP_1C_OM",3.96396984235429,0.964484738766546,0.765814369203576,177
"ASCC175_10_67_0923_TP_1C_OM",4.16751732829776,0.966734851301635,0.775311902419814,216
"ASCC176_8_52_0923_TP_1C_OM",4.69440873764508,0.983426420456788,0.831019675383253,284
"ASCC177_14_94_0923_TP_1C_OM",4.02297001964669,0.964638686004908,0.78696784620842,166
"ASCC178_4_26_0923_TP_1C_OM",3.89895016235622,0.96209570611263,0.757446206094787,172
"ASCC179_16_110_0923_TP_1C_OM",3.15884652082814,0.878353530794687,0.643001919389836,136
"ASCC18_C3_5_0923_SJ_1C_15",3.58962134453121,0.944441161996351,0.720285852598196,146
